Date,Time,Power Factor AN Avg,Power Factor BN Avg,Power Factor CN Avg,Power Factor Total Avg
2025-04-01,01:52:00,0.981,0.919,0.973,0.94
2025-04-01,01:53:00,1.0,0.9,0.992,0.957
2025-04-01,01:54:00,0.967,0.913,0.987,0.959
2025-04-01,01:55:00,1.23,0.906,0.997,0.942
2025-04-01,01:56:00,0.984,0.897,0.998,0.953
2025-04-01,01:57:00,0.971,0.907,0.99,0.956
2025-04-01,01:58:00,1.0,0.926,1.0,0.951
2025-04-01,01:59:00,1.23,0.91,0.989,0.75
2025-04-01,02:00:00,0.986,0.919,0.988,0.94
2025-04-01,02:01:00,0.977,0.904,1.0,0.955
2025-04-01,02:02:00,0.984,0.897,0.993,0.958
2025-04-01,02:03:00,0.977,0.924,1.0,0.959
2025-04-01,02:04:00,0.982,0.922,0.984,0.946
2025-04-01,02:05:00,0.981,0.898,0.983,0.939
2025-04-01,02:06:00,0.983,0.909,0.981,0.961
2025-04-01,02:07:00,0.982,0.895,0.993,0.963
2025-04-01,02:08:00,0.98,0.898,0.982,0.934
2025-04-01,02:09:00,1.18,0.91,1.0,0.95
2025-04-01,02:10:00,0.974,0.907,0.981,0.951
2025-04-01,02:11:00,0.975,0.901,0.995,0.951
2025-04-01,02:12:00,0.988,0.909,0.977,0.942
2025-04-01,02:13:00,0.969,0.919,0.991,0.949
2025-04-01,02:14:00,0.971,0.905,1.0,0.946
2025-04-01,02:15:00,0.999,0.906,0.975,0.953
2025-04-01,02:16:00,0.978,0.922,1.19,0.94
2025-04-01,02:17:00,0.987,0.914,0.988,0.941
2025-04-01,02:18:00,0.985,0.908,0.982,0.94
2025-04-01,02:19:00,0.983,0.899,0.984,0.966
2025-04-01,02:20:00,0.983,0.71,0.972,0.939
2025-04-01,02:21:00,0.987,0.922,0.975,0.963
2025-04-01,02:22:00,0.989,0.928,0.985,0.946
2025-04-01,02:23:00,0.78,0.906,0.982,0.8
2025-04-01,02:24:00,0.97,0.71,1.0,0.948
2025-04-01,02:25:00,0.968,0.927,0.987,0.951
2025-04-01,02:26:00,0.977,0.915,0.985,0.942
2025-04-01,02:27:00,0.965,0.915,0.997,0.937
2025-04-01,02:28:00,0.973,0.923,0.998,0.75
2025-04-01,02:29:00,0.969,0.911,0.997,0.96
2025-04-01,02:30:00,0.983,0.914,1.0,0.936
2025-04-01,02:31:00,0.986,0.926,0.983,0.938
2025-04-01,02:32:00,0.994,0.899,0.975,0.959
2025-04-01,02:33:00,0.988,0.907,0.975,0.96
2025-04-01,02:34:00,0.972,0.904,0.988,0.954
2025-04-01,02:35:00,0.971,0.907,1.0,0.955
2025-04-01,02:36:00,0.986,0.93,1.0,1.2
2025-04-01,02:37:00,0.994,0.923,1.0,0.952
2025-04-01,02:38:00,0.984,0.897,0.999,0.944
2025-04-01,02:39:00,0.987,0.896,0.988,0.946
2025-04-01,02:40:00,1.0,0.929,1.0,0.961
2025-04-01,02:41:00,0.974,0.912,0.999,0.931
2025-04-01,02:42:00,0.986,0.911,0.986,0.948
2025-04-01,02:43:00,0.998,0.899,0.991,0.965
2025-04-01,02:44:00,0.978,0.912,1.0,0.954
2025-04-01,02:45:00,0.998,0.71,1.0,0.944
2025-04-01,02:46:00,1.0,0.908,1.0,0.75
2025-04-01,02:47:00,0.971,0.913,1.24,0.948
2025-04-01,02:48:00,0.98,0.907,1.0,0.957
2025-04-01,02:49:00,0.96,0.906,0.995,0.95
2025-04-01,02:50:00,0.981,0.908,0.988,0.955
2025-04-01,02:51:00,1.0,0.888,0.988,0.937
2025-04-01,02:52:00,0.981,0.918,0.974,0.948
2025-04-01,02:53:00,0.982,0.915,0.989,0.948
2025-04-01,02:54:00,0.968,0.901,0.983,0.946
2025-04-01,02:55:00,0.977,0.914,0.987,0.942
2025-04-01,02:56:00,0.98,0.914,0.998,0.941
2025-04-01,02:57:00,0.78,1.16,0.994,0.941
2025-04-01,02:58:00,0.977,0.887,0.999,0.952
2025-04-01,02:59:00,0.83,0.915,0.992,0.935
2025-04-01,03:00:00,0.971,0.902,0.983,0.964
2025-04-01,03:01:00,0.972,0.915,1.0,0.94
2025-04-01,03:02:00,0.969,0.899,0.976,0.95
2025-04-01,03:03:00,0.971,0.909,0.972,0.945
2025-04-01,03:04:00,1.0,0.912,0.98,0.964
2025-04-01,03:05:00,0.982,0.918,0.993,0.956
2025-04-01,03:06:00,0.984,0.907,1.0,0.973
2025-04-01,03:07:00,0.974,0.91,0.988,0.951
2025-04-01,03:08:00,0.973,0.922,0.981,0.949
2025-04-01,03:09:00,0.99,0.92,0.984,0.947
2025-04-01,03:10:00,0.974,0.918,0.987,0.965
2025-04-01,03:11:00,0.965,0.905,0.984,0.951
2025-04-01,03:12:00,0.973,0.71,0.991,0.95
2025-04-01,03:13:00,0.993,0.903,0.973,0.941
2025-04-01,03:14:00,0.98,0.901,1.0,0.948
2025-04-01,03:15:00,0.983,0.892,0.988,0.944
2025-04-01,03:16:00,0.988,0.913,0.991,0.951
2025-04-01,03:17:00,0.981,0.907,0.992,0.942
2025-04-01,03:18:00,0.977,0.918,0.991,0.944
2025-04-01,03:19:00,0.978,0.912,0.969,0.95
2025-04-01,03:20:00,0.984,0.905,0.991,0.966
2025-04-01,03:21:00,0.974,0.91,0.996,0.949
2025-04-01,03:22:00,0.975,0.907,1.0,0.947
2025-04-01,03:23:00,0.96,0.898,0.997,0.939
2025-04-01,03:24:00,0.99,0.906,0.989,0.952
2025-04-01,03:25:00,0.967,0.928,0.99,0.959
2025-04-01,03:26:00,0.966,0.918,0.981,0.941
2025-04-01,03:27:00,0.996,0.924,1.0,0.952
2025-04-01,03:28:00,0.989,0.913,0.976,0.934
2025-04-01,03:29:00,0.99,0.925,0.989,0.952
2025-04-01,03:30:00,0.966,0.919,0.997,0.936
2025-04-01,03:31:00,0.984,0.909,0.999,0.958
2025-04-01,03:32:00,0.971,0.917,1.0,0.944
2025-04-01,03:33:00,0.974,0.909,0.967,0.938
2025-04-01,03:34:00,0.966,0.929,0.99,0.962
2025-04-01,03:35:00,0.983,0.901,0.99,0.94
2025-04-01,03:36:00,0.971,0.917,0.984,0.943
2025-04-01,03:37:00,0.991,0.912,0.986,0.942
2025-04-01,03:38:00,0.982,0.918,0.981,0.961
2025-04-01,03:39:00,0.971,0.931,0.997,0.95
2025-04-01,03:40:00,0.986,0.905,1.0,0.943
2025-04-01,03:41:00,0.977,0.914,0.992,0.962
2025-04-01,03:42:00,0.98,0.899,0.992,0.953
2025-04-01,03:43:00,1.23,0.895,0.974,0.962
2025-04-01,03:44:00,0.983,0.927,1.0,0.961
2025-04-01,03:45:00,0.977,0.912,0.985,0.96
2025-04-01,03:46:00,0.99,0.92,0.999,0.951
2025-04-01,03:47:00,0.973,0.905,0.985,0.947
2025-04-01,03:48:00,0.994,0.903,0.99,0.935
2025-04-01,03:49:00,0.993,0.76,0.996,0.956
2025-04-01,03:50:00,0.967,0.892,1.0,0.938
2025-04-01,03:51:00,0.978,0.902,0.988,0.942
2025-04-01,03:52:00,0.999,0.914,1.0,0.959
2025-04-01,03:53:00,0.996,0.914,1.0,0.949
2025-04-01,03:54:00,0.99,0.904,0.994,0.962
2025-04-01,03:55:00,0.983,0.907,0.99,1.15
2025-04-01,03:56:00,0.969,0.911,0.977,0.949
2025-04-01,03:57:00,0.982,0.915,0.995,0.947
2025-04-01,03:58:00,0.981,0.913,1.19,0.954
2025-04-01,03:59:00,0.976,0.76,0.985,0.943
2025-04-01,04:00:00,0.98,0.914,0.985,0.942
2025-04-01,04:01:00,0.974,0.903,1.0,0.939
2025-04-01,04:02:00,0.958,0.93,0.99,0.939
2025-04-01,04:03:00,0.964,0.909,0.993,0.967
2025-04-01,04:04:00,0.991,0.886,0.984,0.946
2025-04-01,04:05:00,0.976,0.912,1.24,0.965
2025-04-01,04:06:00,0.983,0.76,0.79,0.957
2025-04-01,04:07:00,0.974,0.909,0.996,0.954
2025-04-01,04:08:00,0.991,0.917,0.84,0.945
2025-04-01,04:09:00,0.993,0.904,0.977,0.947
2025-04-01,04:10:00,0.999,0.76,0.976,0.942
2025-04-01,04:11:00,0.97,0.903,0.976,0.946
2025-04-01,04:12:00,0.975,0.909,0.988,0.958
2025-04-01,04:13:00,0.977,0.916,0.997,0.936
2025-04-01,04:14:00,0.982,1.16,0.973,0.939
2025-04-01,04:15:00,0.982,1.11,0.992,0.935
2025-04-01,04:16:00,0.98,0.76,1.0,0.937
2025-04-01,04:17:00,0.999,0.911,1.19,0.945
2025-04-01,04:18:00,0.983,0.897,0.985,0.944
2025-04-01,04:19:00,0.978,0.907,0.84,0.952
2025-04-01,04:20:00,0.988,0.911,1.0,1.15
2025-04-01,04:21:00,0.99,0.9,0.84,0.967
2025-04-01,04:22:00,0.967,0.914,0.994,0.944
2025-04-01,04:23:00,0.971,0.898,0.988,0.954
2025-04-01,04:24:00,0.98,0.912,1.0,0.947
2025-04-01,04:25:00,0.977,0.927,0.978,0.957
2025-04-01,04:26:00,0.985,0.927,1.0,0.921
2025-04-01,04:27:00,0.978,0.926,0.996,0.949
2025-04-01,04:28:00,0.987,0.918,0.976,0.963
2025-04-01,04:29:00,0.983,0.903,0.989,0.949
2025-04-01,04:30:00,0.992,0.911,0.985,0.959
2025-04-01,04:31:00,0.986,0.937,0.993,0.943
2025-04-01,04:32:00,0.983,0.912,0.989,0.947
2025-04-01,04:33:00,0.994,0.919,1.19,0.976
2025-04-01,04:34:00,0.983,0.897,0.994,0.944
2025-04-01,04:35:00,0.971,0.899,1.0,0.969
2025-04-01,04:36:00,0.982,0.906,0.84,0.947
2025-04-01,04:37:00,0.975,0.916,0.993,0.965
2025-04-01,04:38:00,0.99,0.894,0.985,0.931
2025-04-01,04:39:00,0.992,0.91,0.994,0.943
2025-04-01,04:40:00,0.987,0.899,0.978,0.955
2025-04-01,04:41:00,0.967,0.911,0.988,0.945
2025-04-01,04:42:00,0.964,0.896,1.0,0.965
2025-04-01,04:43:00,0.983,0.89,1.0,0.935
2025-04-01,04:44:00,0.959,0.929,0.981,0.947
2025-04-01,04:45:00,0.973,0.92,0.84,0.953
2025-04-01,04:46:00,0.964,0.923,0.992,0.951
2025-04-01,04:47:00,0.981,0.91,0.97,0.957
2025-04-01,04:48:00,0.977,0.912,0.989,0.953
2025-04-01,04:49:00,0.972,0.912,0.996,0.952
2025-04-01,04:50:00,0.976,0.918,0.988,0.96
2025-04-01,04:51:00,0.986,0.907,0.79,0.942
2025-04-01,04:52:00,0.992,0.89,0.982,0.936
2025-04-01,04:53:00,0.962,0.933,0.994,0.95
2025-04-01,04:54:00,0.985,0.915,0.993,0.948
2025-04-01,04:55:00,0.995,0.908,0.989,0.949
2025-04-01,04:56:00,0.996,0.923,1.0,0.958
2025-04-01,04:57:00,0.992,0.903,0.976,0.95
2025-04-01,04:58:00,0.984,0.903,0.981,0.96
2025-04-01,04:59:00,0.98,0.902,0.99,0.935
2025-04-01,05:00:00,0.986,0.922,0.986,0.939
2025-04-01,05:01:00,0.979,0.916,0.976,0.951
2025-04-01,05:02:00,0.977,0.909,0.984,0.949
2025-04-01,05:03:00,0.966,0.896,0.974,0.959
2025-04-01,05:04:00,0.979,0.916,0.974,0.94
2025-04-01,05:05:00,0.975,0.91,1.0,0.957
2025-04-01,05:06:00,0.98,0.909,0.986,0.953
2025-04-01,05:07:00,0.973,0.91,0.995,0.951
2025-04-01,05:08:00,0.986,0.917,0.982,0.957
2025-04-01,05:09:00,0.995,0.935,0.995,0.935
2025-04-01,05:10:00,0.987,0.894,0.998,0.94
2025-04-01,05:11:00,0.978,0.91,0.966,0.941
2025-04-01,05:12:00,0.988,0.912,1.0,0.947
2025-04-01,05:13:00,0.979,0.894,0.997,0.95
2025-04-01,05:14:00,0.975,0.895,0.987,0.957
2025-04-01,05:15:00,0.971,0.897,1.19,0.937
2025-04-01,05:16:00,0.969,0.907,0.984,0.952
2025-04-01,05:17:00,0.83,1.11,1.0,0.942
2025-04-01,05:18:00,0.984,0.899,0.991,0.8
2025-04-01,05:19:00,0.989,0.906,1.0,0.959
2025-04-01,05:20:00,0.992,0.926,0.994,1.2
2025-04-01,05:21:00,0.986,0.909,0.992,0.971
2025-04-01,05:22:00,0.969,0.895,0.994,0.943
2025-04-01,05:23:00,0.953,0.92,0.969,0.978
2025-04-01,05:24:00,0.968,0.901,0.993,0.969
2025-04-01,05:25:00,0.83,0.911,0.979,0.946
2025-04-01,05:26:00,0.982,0.905,0.982,0.953
2025-04-01,05:27:00,0.984,0.928,1.0,0.94
2025-04-01,05:28:00,0.971,0.925,1.0,0.954
2025-04-01,05:29:00,0.982,0.918,0.993,0.959
2025-04-01,05:30:00,0.982,0.929,0.998,0.94
2025-04-01,05:31:00,0.964,0.905,0.974,0.937
2025-04-01,05:32:00,0.981,0.905,0.997,0.955
2025-04-01,05:33:00,0.975,0.904,1.0,0.938
2025-04-01,05:34:00,0.969,0.928,0.968,0.952
2025-04-01,05:35:00,0.964,0.902,0.98,0.962
2025-04-01,05:36:00,0.977,0.913,0.987,0.949
2025-04-01,05:37:00,0.983,0.912,0.992,0.75
2025-04-01,05:38:00,0.982,0.902,1.0,0.956
2025-04-01,05:39:00,0.983,0.926,0.99,0.946
2025-04-01,05:40:00,0.987,0.901,0.987,0.962
2025-04-01,05:41:00,0.969,0.912,0.988,0.939
2025-04-01,05:42:00,0.979,0.901,0.98,0.949
2025-04-01,05:43:00,0.973,0.909,0.99,0.95
2025-04-01,05:44:00,0.988,0.912,0.993,0.972
2025-04-01,05:45:00,0.981,0.91,0.983,0.954
2025-04-01,05:46:00,0.977,0.911,1.0,0.951
2025-04-01,05:47:00,0.986,0.905,0.984,0.929
2025-04-01,05:48:00,0.987,0.921,0.989,0.96
2025-04-01,05:49:00,0.977,0.907,0.992,0.75
2025-04-01,05:50:00,0.987,0.911,1.0,0.927
2025-04-01,05:51:00,1.23,0.922,1.0,0.957
2025-04-01,05:52:00,0.969,0.927,0.989,0.936
2025-04-01,05:53:00,0.974,0.896,0.992,0.942
2025-04-01,05:54:00,0.991,0.71,1.0,0.955
2025-04-01,05:55:00,0.971,0.908,0.84,0.962
2025-04-01,05:56:00,0.986,0.914,0.985,0.951
2025-04-01,05:57:00,0.988,0.92,0.98,0.95
2025-04-01,05:58:00,0.989,0.92,0.977,0.949
2025-04-01,05:59:00,0.97,0.933,1.0,0.95
2025-04-01,06:00:00,0.981,0.907,0.99,0.945
2025-04-01,06:01:00,0.99,0.916,0.986,0.946
2025-04-01,06:02:00,1.0,0.932,0.983,0.948
2025-04-01,06:03:00,0.997,0.902,0.986,0.946
2025-04-01,06:04:00,0.993,0.904,0.979,0.946
2025-04-01,06:05:00,0.989,0.925,0.84,0.936
2025-04-01,06:06:00,0.975,0.76,0.988,0.93
2025-04-01,06:07:00,0.969,0.922,0.997,0.943
2025-04-01,06:08:00,0.984,0.894,0.989,0.944
2025-04-01,06:09:00,0.987,0.915,0.982,0.957
2025-04-01,06:10:00,0.959,0.914,0.999,0.939
2025-04-01,06:11:00,0.966,0.906,0.994,0.934
2025-04-01,06:12:00,0.987,0.91,0.997,0.956
2025-04-01,06:13:00,0.994,0.907,0.983,0.935
2025-04-01,06:14:00,0.988,0.911,0.977,0.941
2025-04-01,06:15:00,0.979,0.927,0.994,0.953
2025-04-01,06:16:00,0.982,0.91,0.98,1.15
2025-04-01,06:17:00,0.984,0.918,0.989,0.947
2025-04-01,06:18:00,0.985,0.921,0.984,0.957
2025-04-01,06:19:00,0.981,0.904,0.987,0.941
2025-04-01,06:20:00,0.974,0.914,0.992,0.75
2025-04-01,06:21:00,0.982,0.926,0.981,0.953
2025-04-01,06:22:00,0.989,0.901,0.979,0.956
2025-04-01,06:23:00,0.983,0.908,0.983,0.969
2025-04-01,06:24:00,0.984,0.912,0.987,0.954
2025-04-01,06:25:00,0.984,0.91,1.0,0.942
2025-04-01,06:26:00,0.984,0.913,0.994,0.952
2025-04-01,06:27:00,0.977,0.917,0.996,0.947
2025-04-01,06:28:00,0.985,0.931,0.976,0.953
2025-04-01,06:29:00,0.981,0.907,0.995,0.952
2025-04-01,06:30:00,0.971,0.925,0.993,0.956
2025-04-01,06:31:00,0.986,0.899,0.988,0.932
2025-04-01,06:32:00,0.988,0.92,1.0,0.948
2025-04-01,06:33:00,0.964,0.908,0.986,0.959
2025-04-01,06:34:00,0.985,0.915,0.989,0.961
2025-04-01,06:35:00,0.97,0.897,0.983,0.933
2025-04-01,06:36:00,0.99,0.898,0.975,0.952
2025-04-01,06:37:00,1.0,0.893,0.996,0.952
2025-04-01,06:38:00,0.978,0.914,0.994,0.956
2025-04-01,06:39:00,0.982,0.893,0.999,0.956
2025-04-01,06:40:00,0.974,0.904,0.974,0.945
2025-04-01,06:41:00,0.981,0.907,1.0,0.965
2025-04-01,06:42:00,0.974,0.913,0.983,0.959
2025-04-01,06:43:00,0.984,0.919,0.984,0.946
2025-04-01,06:44:00,0.981,0.902,1.0,0.947
2025-04-01,06:45:00,0.971,0.903,0.993,0.943
2025-04-01,06:46:00,0.99,0.918,0.79,0.935
2025-04-01,06:47:00,0.984,0.916,1.24,0.955
2025-04-01,06:48:00,0.964,1.11,1.0,0.951
2025-04-01,06:49:00,0.967,0.914,0.984,0.951
2025-04-01,06:50:00,0.983,0.909,0.982,0.95
2025-04-01,06:51:00,0.978,0.905,0.986,0.958
2025-04-01,06:52:00,0.993,0.893,0.972,0.937
2025-04-01,06:53:00,0.979,0.925,0.989,0.947
2025-04-01,06:54:00,0.988,0.903,0.986,0.939
2025-04-01,06:55:00,0.98,0.903,0.991,0.952
2025-04-01,06:56:00,0.977,0.913,0.979,0.953
2025-04-01,06:57:00,0.977,0.912,1.0,0.935
2025-04-01,06:58:00,0.974,0.91,0.993,0.945
2025-04-01,06:59:00,0.978,0.908,0.84,0.952
2025-04-01,07:00:00,0.983,0.91,0.975,0.951
2025-04-01,07:01:00,0.985,0.899,0.998,0.937
2025-04-01,07:02:00,0.966,0.911,0.989,0.957
2025-04-01,07:03:00,0.967,0.896,0.99,1.2
2025-04-01,07:04:00,0.964,0.904,0.99,0.935
2025-04-01,07:05:00,0.986,0.898,0.973,0.955
2025-04-01,07:06:00,0.973,0.914,0.994,0.93
2025-04-01,07:07:00,0.954,0.9,1.0,0.944
2025-04-01,07:08:00,0.955,0.911,0.992,0.959
2025-04-01,07:09:00,0.991,0.909,0.976,0.95
2025-04-01,07:10:00,0.971,0.926,0.998,1.2
2025-04-01,07:11:00,0.988,0.92,0.993,0.968
2025-04-01,07:12:00,0.992,0.908,0.79,0.967
2025-04-01,07:13:00,0.986,0.905,0.993,0.944
2025-04-01,07:14:00,0.987,0.914,0.998,0.952
2025-04-01,07:15:00,0.979,1.11,0.98,0.964
2025-04-01,07:16:00,0.962,0.92,0.996,0.943
2025-04-01,07:17:00,0.979,0.915,0.992,0.956
2025-04-01,07:18:00,0.99,0.908,1.0,0.955
2025-04-01,07:19:00,0.982,0.899,0.988,0.951
2025-04-01,07:20:00,0.97,0.884,0.997,0.956
2025-04-01,07:21:00,0.83,0.912,0.994,0.948
2025-04-01,07:22:00,0.972,0.899,0.999,0.93
2025-04-01,07:23:00,0.985,0.904,0.984,0.958
2025-04-01,07:24:00,0.991,0.907,0.99,0.953
2025-04-01,07:25:00,0.979,0.909,0.992,0.953
2025-04-01,07:26:00,0.984,0.907,0.982,0.939
2025-04-01,07:27:00,0.974,0.919,1.0,0.93
2025-04-01,07:28:00,0.957,0.906,0.989,0.941
2025-04-01,07:29:00,0.98,0.917,0.986,0.945
2025-04-01,07:30:00,0.981,0.908,0.991,0.943
2025-04-01,07:31:00,0.973,0.895,0.992,0.949
2025-04-01,07:32:00,0.98,0.917,1.0,0.941
2025-04-01,07:33:00,0.984,0.912,0.997,0.945
2025-04-01,07:34:00,0.979,0.902,0.996,0.943
2025-04-01,07:35:00,0.983,0.898,0.976,0.943
2025-04-01,07:36:00,0.997,0.909,0.996,0.954
2025-04-01,07:37:00,0.979,0.911,0.989,0.96
2025-04-01,07:38:00,0.985,0.922,0.985,0.943
2025-04-01,07:39:00,0.991,0.92,0.84,0.948
2025-04-01,07:40:00,0.995,0.912,1.0,0.95
2025-04-01,07:41:00,0.973,0.906,0.987,1.2
2025-04-01,07:42:00,0.972,0.917,1.0,0.96
2025-04-01,07:43:00,0.967,0.898,1.24,0.952
2025-04-01,07:44:00,0.989,0.904,0.981,0.971
2025-04-01,07:45:00,0.971,0.904,0.994,0.95
2025-04-01,07:46:00,0.992,0.918,1.0,0.952
2025-04-01,07:47:00,1.23,0.908,1.0,0.952
2025-04-01,07:48:00,0.992,0.914,0.987,0.958
2025-04-01,07:49:00,0.976,0.904,0.998,0.959
2025-04-01,07:50:00,0.989,0.916,0.989,0.955
2025-04-01,07:51:00,0.989,0.903,0.989,0.954
2025-04-01,07:52:00,0.972,0.909,0.994,0.926
2025-04-01,07:53:00,0.96,0.903,0.977,0.957
2025-04-01,07:54:00,0.988,0.922,0.994,0.933
2025-04-01,07:55:00,0.986,0.898,0.986,0.75
2025-04-01,07:56:00,0.974,0.907,0.99,0.75
2025-04-01,07:57:00,0.988,0.902,0.999,0.951
2025-04-01,07:58:00,0.98,0.923,1.0,0.956
